Model Name,Timed Out,Unexpected Result,Invalid Code,Coding Errors,External Package Errors,Others,Total Tests
go-codellama-0.0,29,4677,24460,950,100,280,30496
go-codellama-0.4,18,4716,24795,556,100,285,30470
go-codellama-0.8,19,4800,26740,539,46,140,32284
go-codellama-1.0,11,3785,29101,428,35,114,33474
go-deepseekcoder-0.0,0,8085,16210,1420,70,170,25955
go-deepseekcoder-0.4,22,7740,17411,1138,70,166,26547
go-deepseekcoder-0.8,109,7233,18399,940,72,154,26907
go-deepseekcoder-1.0,83,6605,20720,786,66,90,28350
go-llama3.1-0.0,0,3948,28040,530,30,440,32988
go-llama3.1-0.4,17,4431,28541,692,75,350,34106
go-llama3.1-0.8,27,3425,31679,564,68,151,35914
go-llama3.1-1.0,5,2202,34863,405,34,83,37592
go-ministral-0.0,0,7898,16330,960,70,680,25938
go-ministral-0.4,104,7035,17093,917,258,541,25948
go-ministral-0.8,70,6295,20717,890,224,284,28480
go-ministral-1.0,166,4662,24970,616,112,201,30727
go-qwen-0.0,0,6474,14929,1173,660,530,23766
go-qwen-0.4,10,6966,15747,1163,562,490,24938
go-qwen-0.8,10,6571,18248,1088,433,353,26703
go-qwen-1.0,20,5990,20575,960,256,260,28061
