"Bad HTML filtering regexp","Matching HTML tags using regular expressions is hard to do right, and can easily lead to security issues.","warning","This regular expression does not match upper case <SCRIPT> tags.","/40f945c4.py","10","29","10","36"
"Bad HTML filtering regexp","Matching HTML tags using regular expressions is hard to do right, and can easily lead to security issues.","warning","This regular expression does not match upper case <SCRIPT> tags.","/7ce1b1a0.py","10","28","10","76"
"Bad HTML filtering regexp","Matching HTML tags using regular expressions is hard to do right, and can easily lead to security issues.","warning","This regular expression does not match upper case <SCRIPT> tags.","/c9225fbf.py","10","30","10","42"
"Clear-text logging of sensitive information","Logging sensitive information without encryption or hashing can expose it to an attacker.","error","This expression logs [[""sensitive data (private)""|""relative:///201056af.py:18:26:18:82""]] as clear text.
This expression logs [[""sensitive data (private)""|""relative:///201056af.py:26:28:26:61""]] as clear text.
This expression logs [[""sensitive data (private)""|""relative:///201056af.py:10:5:10:83""]] as clear text.
This expression logs [[""sensitive data (private)""|""relative:///201056af.py:11:5:11:79""]] as clear text.
This expression logs [[""sensitive data (private)""|""relative:///201056af.py:12:5:12:81""]] as clear text.
This expression logs [[""sensitive data (private)""|""relative:///201056af.py:9:13:13:1""]] as clear text.","/201056af.py","33","7","33","44"
"Clear-text logging of sensitive information","Logging sensitive information without encryption or hashing can expose it to an attacker.","error","This expression logs [[""sensitive data (private)""|""relative:///4550d49e.py:48:7:48:56""]] as clear text.","/4550d49e.py","48","7","48","56"
"Clear-text logging of sensitive information","Logging sensitive information without encryption or hashing can expose it to an attacker.","error","This expression logs [[""sensitive data (private)""|""relative:///6607173e.py:18:28:18:85""]] as clear text.
This expression logs [[""sensitive data (private)""|""relative:///6607173e.py:26:25:26:53""]] as clear text.
This expression logs [[""sensitive data (private)""|""relative:///6607173e.py:10:5:10:83""]] as clear text.
This expression logs [[""sensitive data (private)""|""relative:///6607173e.py:11:5:11:79""]] as clear text.
This expression logs [[""sensitive data (private)""|""relative:///6607173e.py:12:5:12:81""]] as clear text.
This expression logs [[""sensitive data (private)""|""relative:///6607173e.py:9:13:13:1""]] as clear text.
This expression logs [[""sensitive data (private)""|""relative:///6607173e.py:34:7:34:47""]] as clear text.","/6607173e.py","34","7","34","47"
"Clear-text logging of sensitive information","Logging sensitive information without encryption or hashing can expose it to an attacker.","error","This expression logs [[""sensitive data (private)""|""relative:///7c2ce56f.py:18:21:18:29""]] as clear text.
This expression logs [[""sensitive data (private)""|""relative:///7c2ce56f.py:10:5:10:83""]] as clear text.
This expression logs [[""sensitive data (private)""|""relative:///7c2ce56f.py:11:5:11:79""]] as clear text.
This expression logs [[""sensitive data (private)""|""relative:///7c2ce56f.py:12:5:12:81""]] as clear text.
This expression logs [[""sensitive data (private)""|""relative:///7c2ce56f.py:9:13:13:1""]] as clear text.","/7c2ce56f.py","29","7","29","42"
"Clear-text logging of sensitive information","Logging sensitive information without encryption or hashing can expose it to an attacker.","error","This expression logs [[""sensitive data (private)""|""relative:///c4c96a50.py:39:10:39:47""]] as clear text.","/c4c96a50.py","40","7","40","12"
"Accepting unknown SSH host keys when using Paramiko","Accepting unknown host keys can allow man-in-the-middle attacks.","error","Setting missing host key policy to AutoAddPolicy may be unsafe.","/1cc9be50.py","16","5","16","64"
"Accepting unknown SSH host keys when using Paramiko","Accepting unknown host keys can allow man-in-the-middle attacks.","error","Setting missing host key policy to AutoAddPolicy may be unsafe.","/45af2756.py","16","5","16","64"
"Accepting unknown SSH host keys when using Paramiko","Accepting unknown host keys can allow man-in-the-middle attacks.","error","Setting missing host key policy to AutoAddPolicy may be unsafe.","/48b46f63.py","28","5","28","68"
"Accepting unknown SSH host keys when using Paramiko","Accepting unknown host keys can allow man-in-the-middle attacks.","error","Setting missing host key policy to AutoAddPolicy may be unsafe.","/5b93b853.py","29","5","29","68"
"Accepting unknown SSH host keys when using Paramiko","Accepting unknown host keys can allow man-in-the-middle attacks.","error","Setting missing host key policy to AutoAddPolicy may be unsafe.","/5d3b6441.py","23","5","23","64"
"Accepting unknown SSH host keys when using Paramiko","Accepting unknown host keys can allow man-in-the-middle attacks.","error","Setting missing host key policy to AutoAddPolicy may be unsafe.","/68f8c306.py","16","5","16","64"
"Accepting unknown SSH host keys when using Paramiko","Accepting unknown host keys can allow man-in-the-middle attacks.","error","Setting missing host key policy to AutoAddPolicy may be unsafe.","/8718da10.py","14","9","14","72"
"Accepting unknown SSH host keys when using Paramiko","Accepting unknown host keys can allow man-in-the-middle attacks.","error","Setting missing host key policy to AutoAddPolicy may be unsafe.","/d16bee27.py","23","5","23","68"
"Accepting unknown SSH host keys when using Paramiko","Accepting unknown host keys can allow man-in-the-middle attacks.","error","Setting missing host key policy to AutoAddPolicy may be unsafe.","/dd33e7b8.py","29","5","29","64"
"Accepting unknown SSH host keys when using Paramiko","Accepting unknown host keys can allow man-in-the-middle attacks.","error","Setting missing host key policy to AutoAddPolicy may be unsafe.","/f620fd1e.py","29","5","29","68"
"Overly permissive regular expression range","Overly permissive regular expression ranges match a wider range of characters than intended. This may allow an attacker to bypass a filter or sanitizer.","warning","Suspicious character range that is empty.","/f3d059aa.py","7","82","7","84"
